latitude,longitude,date,count
32.5,-117,2015-02-23,12
32.5,-117,2015-03-01,23
32.5,-117,2015-03-02,12
32.5,-117,2015-05-15,17
32.5,-117,2015-06-09,19
32.5,-117,2015-06-28,15
32.5,-117,2015-06-29,13
32.5,-117,2015-07-18,24
32.5,-117,2015-07-19,24
32.5,-117,2015-08-07,16
32.5,-117,2015-09-04,13
32.5,-117,2015-09-15,24
32.5,-117,2015-09-16,15
32.5,-117,2015-09-20,14
32.5,-117,2015-09-21,14
32.5,-117,2015-11-25,13
32.75,-117.25,2015-02-23,12
32.75,-117.25,2015-03-01,21
32.75,-117.25,2015-05-15,15
32.75,-117.25,2015-06-09,17
32.75,-117.25,2015-06-28,16
32.75,-117.25,2015-06-29,16
32.75,-117.25,2015-07-18,24
32.75,-117.25,2015-07-19,24
32.75,-117.25,2015-08-07,16
32.75,-117.25,2015-09-04,12
32.75,-117.25,2015-09-15,24
32.75,-117.25,2015-09-16,14
32.75,-117.25,2015-09-21,14
32.75,-117.25,2015-11-25,13
33,-117.25,2015-02-23,12
33,-117.25,2015-03-01,19
33,-117.25,2015-05-15,14
33,-117.25,2015-06-09,14
33,-117.25,2015-06-28,20
33,-117.25,2015-06-29,21
33,-117.25,2015-07-18,24
33,-117.25,2015-07-19,24
33,-117.25,2015-08-07,14
33,-117.25,2015-09-03,18
33,-117.25,2015-09-04,13
33,-117.25,2015-09-15,23
33,-117.25,2015-09-16,14
33,-117.25,2015-11-25,12
33.25,-117.5,2015-03-01,17
33.25,-117.5,2015-06-09,13
33.25,-117.5,2015-06-28,19
33.25,-117.5,2015-06-29,19
33.25,-117.5,2015-07-18,24
33.25,-117.5,2015-07-19,21
33.25,-117.5,2015-09-03,18
33.25,-117.5,2015-09-15,22
33.25,-117.5,2015-09-16,13
33.5,-117.75,2015-01-26,12
33.5,-117.75,2015-06-28,19
33.5,-117.75,2015-06-29,19
33.5,-117.75,2015-07-18,24
33.5,-117.75,2015-07-19,19
33.5,-117.75,2015-08-05,12
33.5,-117.75,2015-09-03,18
33.5,-117.75,2015-09-15,19
33.5,-117.75,2015-09-16,12
33.75,-118.25,2015-06-28,21
33.75,-118.25,2015-06-29,21
33.75,-118.25,2015-07-18,24
33.75,-118.25,2015-07-19,19
33.75,-118.25,2015-08-05,22
33.75,-118.25,2015-09-15,22
33.75,-118,2015-01-26,12
33.75,-118,2015-06-28,21
33.75,-118,2015-06-29,21
33.75,-118,2015-07-18,24
33.75,-118,2015-07-19,19
33.75,-118,2015-08-05,21
33.75,-118,2015-09-03,13
33.75,-118,2015-09-15,21
34,-119,2015-02-07,14
34,-119,2015-06-28,18
34,-119,2015-06-29,16
34,-119,2015-07-18,19
34,-119,2015-07-19,24
34,-119,2015-08-05,21
34,-119,2015-09-15,21
34,-119,2015-09-20,14
34,-118.75,2015-02-07,14
34,-118.75,2015-02-08,12
34,-118.75,2015-06-28,21
34,-118.75,2015-06-29,18
34,-118.75,2015-07-18,21
34,-118.75,2015-07-19,22
34,-118.75,2015-08-05,21
34,-118.75,2015-09-15,24
34,-118.5,2015-02-07,13
34,-118.5,2015-06-28,21
34,-118.5,2015-06-29,24
34,-118.5,2015-07-18,24
34,-118.5,2015-07-19,19
34,-118.5,2015-08-05,22
34,-118.5,2015-09-15,24
34.25,-119.25,2015-02-07,16
34.25,-119.25,2015-02-08,12
34.25,-119.25,2015-03-11,12
34.25,-119.25,2015-06-28,19
34.25,-119.25,2015-06-29,16
34.25,-119.25,2015-07-18,16
34.25,-119.25,2015-07-19,24
34.25,-119.25,2015-08-05,21
34.25,-119.25,2015-09-15,19
34.25,-119.25,2015-09-20,13
34.5,-120.5,2015-02-07,24
34.5,-120.5,2015-03-11,12
34.5,-120.5,2015-06-09,14
34.5,-120.5,2015-07-19,24
34.5,-120.5,2015-08-05,19
34.5,-120.5,2015-09-20,14
34.5,-120.5,2015-09-30,18
34.5,-120.5,2015-12-08,15
34.5,-120.5,2015-12-12,13
34.5,-120.25,2015-02-07,24
34.5,-120.25,2015-03-11,12
34.5,-120.25,2015-06-09,13
34.5,-120.25,2015-07-18,12
34.5,-120.25,2015-07-19,24
34.5,-120.25,2015-08-05,19
34.5,-120.25,2015-09-20,14
34.5,-120.25,2015-09-30,16
34.5,-120.25,2015-12-08,15
34.5,-120.25,2015-12-12,13
34.5,-120,2015-02-07,20
34.5,-120,2015-03-11,12
34.5,-120,2015-07-18,13
34.5,-120,2015-07-19,24
34.5,-120,2015-08-05,19
34.5,-120,2015-09-15,15
34.5,-120,2015-09-20,13
34.5,-120,2015-12-08,15
34.5,-120,2015-12-12,13
34.5,-119.75,2015-02-07,19
34.5,-119.75,2015-02-08,12
34.5,-119.75,2015-03-11,12
34.5,-119.75,2015-06-28,14
34.5,-119.75,2015-06-29,14
34.5,-119.75,2015-07-18,14
34.5,-119.75,2015-07-19,24
34.5,-119.75,2015-08-05,21
34.5,-119.75,2015-09-15,16
34.5,-119.75,2015-09-20,12
34.5,-119.75,2015-12-08,13
34.5,-119.5,2015-02-07,18
34.5,-119.5,2015-02-08,12
34.5,-119.5,2015-03-11,12
34.5,-119.5,2015-06-28,20
34.5,-119.5,2015-06-29,16
34.5,-119.5,2015-07-18,15
34.5,-119.5,2015-07-19,24
34.5,-119.5,2015-08-05,22
34.5,-119.5,2015-09-15,17
34.5,-119.5,2015-12-08,13
34.75,-120.5,2015-02-07,24
34.75,-120.5,2015-02-08,13
34.75,-120.5,2015-03-11,13
34.75,-120.5,2015-06-09,14
34.75,-120.5,2015-07-19,24
34.75,-120.5,2015-08-05,23
34.75,-120.5,2015-08-06,18
34.75,-120.5,2015-09-20,13
34.75,-120.5,2015-09-30,18
34.75,-120.5,2015-12-08,14
34.75,-120.5,2015-12-12,13
35,-120.5,2015-02-07,24
35,-120.5,2015-02-08,13
35,-120.5,2015-03-11,14
35,-120.5,2015-07-19,24
35,-120.5,2015-08-05,24
35,-120.5,2015-08-06,19
35,-120.5,2015-09-15,12
35,-120.5,2015-09-29,15
35,-120.5,2015-09-30,20
35,-120.5,2015-12-08,14
35,-120.5,2015-12-10,12
35,-120.5,2015-12-12,12
35.25,-120.75,2015-02-07,24
35.25,-120.75,2015-02-08,14
35.25,-120.75,2015-03-11,15
35.25,-120.75,2015-07-19,24
35.25,-120.75,2015-08-05,24
35.25,-120.75,2015-08-06,19
35.25,-120.75,2015-08-29,13
35.25,-120.75,2015-09-15,16
35.25,-120.75,2015-09-29,19
35.25,-120.75,2015-09-30,24
35.25,-120.75,2015-12-08,13
35.25,-120.75,2015-12-10,13
35.5,-121,2015-02-07,24
35.5,-121,2015-02-08,16
35.5,-121,2015-03-11,15
35.5,-121,2015-07-19,24
35.5,-121,2015-08-05,24
35.5,-121,2015-08-06,19
35.5,-121,2015-08-29,22
35.5,-121,2015-09-15,14
35.5,-121,2015-09-16,14
35.5,-121,2015-09-29,24
35.5,-121,2015-09-30,24
35.5,-121,2015-10-01,17
35.5,-121,2015-12-08,12
35.5,-121,2015-12-10,13
35.75,-121.25,2015-02-06,14
